4 3
1 50
61.5156 00002649_00000001_slap_S_01.png 00002649_00000001_roll_V_01.png
69.6464 00002330_00000001_roll_V_01.png 00002330_00000001_roll_U_01.png
57.5868 00002312_00000001_roll_U_01.png 00002312_00000001_slap_R_01.png
78.6332 00002649_00000001_roll_V_01.png 00002312_00000001_roll_V_01.png
82.9792 00002649_00000001_roll_U_01.png 00002330_00000001_roll_U_01.png
76.7716 00002330_00000001_slap_R_01.png 00002312_00000001_slap_R_01.png
77.1728 00002330_00000001_roll_U_01.png 00002649_00000001_roll_V_01.png
62.9636 00002312_00000001_roll_V_01.png 00002649_00000001_slap_S_01.png
81.3388 00002649_00000001_slap_S_01.png 00002312_00000001_roll_U_01.png

1 300
77.1704 00002649_00000001_slap_S_01.png 00002649_00000001_roll_V_01.png
87.3145 00002330_00000001_roll_V_01.png 00002330_00000001_roll_U_01.png
66.4272 00002312_00000001_roll_U_01.png 00002312_00000001_slap_R_01.png
75.8564 00002649_00000001_roll_V_01.png 00002312_00000001_roll_V_01.png
90.1494 00002649_00000001_roll_U_01.png 00002330_00000001_roll_U_01.png
83.9409 00002330_00000001_slap_R_01.png 00002312_00000001_slap_R_01.png
70.9719 00002330_00000001_roll_U_01.png 00002649_00000001_roll_V_01.png
76.8413 00002312_00000001_roll_V_01.png 00002649_00000001_slap_S_01.png
85.6776 00002649_00000001_slap_S_01.png 00002312_00000001_roll_U_01.png

1 500
60.4936 00002649_00000001_slap_S_01.png 00002649_00000001_roll_V_01.png
85.9522 00002330_00000001_roll_V_01.png 00002330_00000001_roll_U_01.png
111.0951 00002312_00000001_roll_U_01.png 00002312_00000001_slap_R_01.png
75.2374 00002649_00000001_roll_V_01.png 00002312_00000001_roll_V_01.png
78.0819 00002649_00000001_roll_U_01.png 00002330_00000001_roll_U_01.png
107.7223 00002330_00000001_slap_R_01.png 00002312_00000001_slap_R_01.png
61.2670 00002330_00000001_roll_U_01.png 00002649_00000001_roll_V_01.png
94.4777 00002312_00000001_roll_V_01.png 00002649_00000001_slap_S_01.png
60.8738 00002649_00000001_slap_S_01.png 00002312_00000001_roll_U_01.png

2 50
72.8164 00002649_00000001_slap_S_01.png 00002649_00000001_roll_V_01.png
74.5504 00002330_00000001_roll_V_01.png 00002330_00000001_roll_U_01.png
72.4904 00002312_00000001_roll_U_01.png 00002312_00000001_slap_R_01.png
81.6884 00002649_00000001_roll_V_01.png 00002312_00000001_roll_V_01.png
95.0004 00002649_00000001_roll_U_01.png 00002330_00000001_roll_U_01.png
76.5184 00002330_00000001_slap_R_01.png 00002312_00000001_slap_R_01.png
85.3116 00002330_00000001_roll_U_01.png 00002649_00000001_roll_V_01.png
93.6888 00002312_00000001_roll_V_01.png 00002649_00000001_slap_S_01.png
96.5124 00002649_00000001_slap_S_01.png 00002312_00000001_roll_U_01.png

2 300
77.9842 00002649_00000001_slap_S_01.png 00002649_00000001_roll_V_01.png
87.7842 00002330_00000001_roll_V_01.png 00002330_00000001_roll_U_01.png
73.5681 00002312_00000001_roll_U_01.png 00002312_00000001_slap_R_01.png
76.5697 00002649_00000001_roll_V_01.png 00002312_00000001_roll_V_01.png
96.4625 00002649_00000001_roll_U_01.png 00002330_00000001_roll_U_01.png
84.8207 00002330_00000001_slap_R_01.png 00002312_00000001_slap_R_01.png
83.6090 00002330_00000001_roll_U_01.png 00002649_00000001_roll_V_01.png
84.0701 00002312_00000001_roll_V_01.png 00002649_00000001_slap_S_01.png
87.7399 00002649_00000001_slap_S_01.png 00002312_00000001_roll_U_01.png

2 500
60.4831 00002649_00000001_slap_S_01.png 00002649_00000001_roll_V_01.png
85.5015 00002330_00000001_roll_V_01.png 00002330_00000001_roll_U_01.png
110.7088 00002312_00000001_roll_U_01.png 00002312_00000001_slap_R_01.png
75.1232 00002649_00000001_roll_V_01.png 00002312_00000001_roll_V_01.png
80.5017 00002649_00000001_roll_U_01.png 00002330_00000001_roll_U_01.png
107.8299 00002330_00000001_slap_R_01.png 00002312_00000001_slap_R_01.png
63.6203 00002330_00000001_roll_U_01.png 00002649_00000001_roll_V_01.png
94.5231 00002312_00000001_roll_V_01.png 00002649_00000001_slap_S_01.png
59.8250 00002649_00000001_slap_S_01.png 00002312_00000001_roll_U_01.png

3 50
74.2404 00002649_00000001_slap_S_01.png 00002649_00000001_roll_V_01.png
75.3176 00002330_00000001_roll_V_01.png 00002330_00000001_roll_U_01.png
72.5872 00002312_00000001_roll_U_01.png 00002312_00000001_slap_R_01.png
81.6884 00002649_00000001_roll_V_01.png 00002312_00000001_roll_V_01.png
89.8980 00002649_00000001_roll_U_01.png 00002330_00000001_roll_U_01.png
77.4544 00002330_00000001_slap_R_01.png 00002312_00000001_slap_R_01.png
85.3116 00002330_00000001_roll_U_01.png 00002649_00000001_roll_V_01.png
93.6888 00002312_00000001_roll_V_01.png 00002649_00000001_slap_S_01.png
94.5388 00002649_00000001_slap_S_01.png 00002312_00000001_roll_U_01.png

3 300
76.3833 00002649_00000001_slap_S_01.png 00002649_00000001_roll_V_01.png
88.5827 00002330_00000001_roll_V_01.png 00002330_00000001_roll_U_01.png
73.7461 00002312_00000001_roll_U_01.png 00002312_00000001_slap_R_01.png
76.9861 00002649_00000001_roll_V_01.png 00002312_00000001_roll_V_01.png
96.4625 00002649_00000001_roll_U_01.png 00002330_00000001_roll_U_01.png
84.9311 00002330_00000001_slap_R_01.png 00002312_00000001_slap_R_01.png
84.1661 00002330_00000001_roll_U_01.png 00002649_00000001_roll_V_01.png
83.8107 00002312_00000001_roll_V_01.png 00002649_00000001_slap_S_01.png
87.3712 00002649_00000001_slap_S_01.png 00002312_00000001_roll_U_01.png

3 500
